title,company_name,location,description,link
Database Administrator,Aman Holding -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · computer · Analysis · Computer Engineering · Database Management · Engineering · Information Technology (IT) · Management,https://wuzzuf.net/jobs/p/3HiTMuL8w9BS-Database-Administrator-Aman-Holding-Cairo-Egypt?o=185&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Quality Control Engineer,Nagwa -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · selenium · Automation · Quality Control · Quality Assurance · Testing · Computer Science · Software · Computer Engineering,https://wuzzuf.net/jobs/p/Bp0B1plgLJk6-Senior-Quality-Control-Engineer-Nagwa-Cairo-Egypt?o=186&l=sp&t=sj&a=data science jobs|search-v3|navbl
Software Tester,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation · Information Technology (IT) · Science · Design · Quality Control · Software,https://wuzzuf.net/jobs/p/DrcG8RrcMF4g-Software-Tester-Etisalat-Egypt-Cairo-Egypt?o=187&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Software Tester - Cairo,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · computer · Science · Software · Information Technology (IT) · test automation · Planning,https://wuzzuf.net/jobs/p/BV4em7HKePDw-Senior-Software-Tester---Cairo-Etisalat-Egypt-Cairo-Egypt?o=188&l=sp&t=sj&a=data science jobs|search-v3|navbl
Back-end Engineer-PHP Stack (Mid/Senior),Refilex -,"Dokki, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · HTML5 · PHP · Software Engineering · Web Development · Software Development · MVC,https://wuzzuf.net/jobs/p/Ci2zJQU8oAUB-Back-end-Engineer-PHP-Stack-MidSenior-Refilex-Giza-Egypt?o=189&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Backend Developer (.NET Core),One Health Network -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Software Development · Database · Development · SQL · Software Engineering · REST · Information Technology (IT),https://wuzzuf.net/jobs/p/Y3an4L2vseif-Senior-Backend-Developer-NET-Core-One-Health-Network-Cairo-Egypt?o=190&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Network Administrator,Khwarizm Consulting -,"Downtown, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cisco · CCNP · Computer Science · Information Technology (IT) · Network Administration · Security · Network · Infrastructure,https://wuzzuf.net/jobs/p/ZhZquBOJqfAr-Senior-Network-Administrator-Khwarizm-Consulting-Cairo-Egypt?o=191&l=sp&t=sj&a=data science jobs|search-v3|navbl
Full Stack Developer,Block Gemini -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · Node.js · Angular · React.js · Full Stack · JavaScript · PHP · Software Development,https://wuzzuf.net/jobs/p/TPMJCieamAtc-Full-Stack-Developer-Block-Gemini-Giza-Egypt?o=192&l=sp&t=sj&a=data science jobs|search-v3|navbl
Procurement Manager,Al Andalous Pharmaceutical Industries -,"6th of October, Giza, Egypt ",Full TimeManager · 12 - 15 Yrs of Exp · Operations/Management · Pharmaceutical · Purchasing/Procurement · Pharmaceutical · Procurement · SAP · Management · Logistics · Purchasing · foreign,https://wuzzuf.net/jobs/p/d7sPrQOvHy2x-Procurement-Manager-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=193&l=sp&t=sj&a=data science jobs|search-v3|navbl
Flutter Developer - Remote - Senior,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Computer Science · Dart · Development · flutter · Github · Information Technology (IT) · iOS,https://wuzzuf.net/jobs/p/ixCZD8x1BEFp-Flutter-Developer---Remote---Senior-GetTechForce-com-Cairo-Egypt?o=194&l=sp&t=sj&a=data science jobs|search-v3|navbl
IT Supervisor,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeManager · 6 - 8 Yrs of Exp · males_preferred · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · ERP · Information Technology (IT) · IT · Security · Networking,https://wuzzuf.net/jobs/p/5OG5aNogLFCx-IT-Supervisor-Cairo-Egypt?o=195&l=sp&t=sj&a=data science jobs|search-v3|navbl
IT Specialist,Memaar Alashraaf -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · computer · Computer Engineering · Information Technology (IT) · CISSP · Communication · Computer Science · MCSE · Hardware,https://wuzzuf.net/jobs/p/wqIvw3ydZ4Ne-IT-Specialist-Memaar-Alashraaf-Cairo-Egypt?o=196&l=sp&t=sj&a=data science jobs|search-v3|navbl
Implementation Engineer,FlairsTech -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Communication · Communication skills · Computer Science · Configuration · Engineering · Implementation · Information Technology (IT),https://wuzzuf.net/jobs/p/jix9bHt0g9aK-Implementation-Engineer-FlairsTech-Cairo-Egypt?o=197&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Network Engineer,SABA -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Network Engineer · Design · CCDP · Architecture · TCP/IP · BGP · OSPF · Computer Science,https://wuzzuf.net/jobs/p/XeaTvTcSUn2Q-Senior-Network-Engineer-SABA-Cairo-Egypt?o=198&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Test Engineer (Remotely),The Group -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ISTQB · JIRA · Software Development · Computer Engineering · Computer Science · English · Information Technology (IT) · Engineering,https://wuzzuf.net/jobs/p/rALW9g4mLX3p-Senior-Test-Engineer-Remotely-The-Group-Cairo-Egypt?o=199&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Regulatory Affairs Specialist - Pharmaceuticals,dkt Egypt -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · females_only · Medical/Healthcare · Pharmaceutical · Regulatory · Registeration · New Products · Pipline · CTD · eCTD · MOH · Pharmacy,https://wuzzuf.net/jobs/p/pNWyBy9HpPHW-Senior-Regulatory-Affairs-Specialist---Pharmaceuticals-dkt-Egypt-Cairo-Egypt?o=200&l=sp&t=sj&a=data science jobs|search-v3|navbl
Android Developer,Block Gemini -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Android · Development · Java · Kotlin · Information Technology (IT) · Engineering · Software Development,https://wuzzuf.net/jobs/p/HXh46oSnlO20-Android-Developer-Block-Gemini-Giza-Egypt?o=201&l=sp&t=sj&a=data science jobs|search-v3|navbl
Director of Software Development (Hybrid),SSC Egypt -,"Nasr City, Cairo, Egypt ",Full TimeSenior Management · 12 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Business Development · Operations · Startup · Information Technology (IT),https://wuzzuf.net/jobs/p/ydEl627Bi0ml-Director-of-Software-Development-Hybrid-SSC-Egypt-Cairo-Egypt?o=202&l=sp&t=sj&a=data science jobs|search-v3|navbl
Software Product Owner,etmana -,"Katameya, Cairo, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Agile · Computer Science · JIRA · Management · Product · Product Management · Software Development,https://wuzzuf.net/jobs/p/yDsDDGrpSIMu-Software-Product-Owner-etmana-Cairo-Egypt?o=203&l=sp&t=sj&a=data science jobs|search-v3|navbl
ICT SUPERVISOR,Medecins Sans Frontieres -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · ICT · Information Technology (IT) · MSF · Computer Science · English,https://wuzzuf.net/jobs/p/BpXLXsk2uDmC-ICT-SUPERVISOR-Medecins-Sans-Frontieres-Cairo-Egypt?o=204&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior PHP Developer,storage it station -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Computer Science · Software Engineering · Software Development · Software · CSS3 · Git · HTML5,https://wuzzuf.net/jobs/p/rDfhbtuTYOhF-Senior-PHP-Developer-storage-it-station-Cairo-Egypt?o=205&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Systems Engineer,DEVOPSolution -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Communication · Communication skills · computer · Computer Engineering · Computer Science · Engineering · System Administration,https://wuzzuf.net/jobs/p/yHrstHNtrH89-Senior-Systems-Engineer-DEVOPSolution-Cairo-Egypt?o=206&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior UI/UX Designer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · User Interface · Creative · Design · Development · Computer Science · Information Technology (IT) · Software,https://wuzzuf.net/jobs/p/eg3FAajZcSUu-Senior-UIUX-Designer-Trufla-Cairo-Egypt?o=207&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Infrastructure/Systems Engineer,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Engineering · Infrastructure · Installation · Linux · MySQL · Python,https://wuzzuf.net/jobs/p/mMSBRyLbsRiV-Senior-InfrastructureSystems-Engineer-BBI-Consultancy-Cairo-Egypt?o=208&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior IT Networking Specialist,The Address Investments for Real Estate Consultancy -,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Networking · IT · Information technology · Networks · Maintenance · Cloud · Computer Science · Installation,https://wuzzuf.net/jobs/p/Vsip8OH0MebL-Senior-IT-Networking-Specialist-The-Address-Investments-for-Real-Estate-Consultancy-Giza-Egypt?o=209&l=sp&t=sj&a=data science jobs|search-v3|navbl
Game Tooling Engineer,Limbic Entertainment (Cairo Office) -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · Engineering · System Administration · Computer Science · Programming · Software Development · Information Technology (IT) · JIRA,https://wuzzuf.net/jobs/p/1ZK3NYME7mdq-Game-Tooling-Engineer-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=210&l=sp&t=sj&a=data science jobs|search-v3|navbl
Sr. Software Implementer,Glamera -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ERP · Information Technology (IT) · Software Development · SaaS · Software Engineering · Computer Science · Leadership · English,https://wuzzuf.net/jobs/p/D3PRHeFYJxYw-Sr-Software-Implementer-Glamera-Cairo-Egypt?o=211&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Odoo implementer,Docuserv -,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Computer Science · ERP · Information Technology (IT) · Business Processes · English,https://wuzzuf.net/jobs/p/GLrCroSEchW0-Senior-Odoo-implementer-Docuserv-Cairo-Egypt?o=212&l=sp&t=sj&a=data science jobs|search-v3|navbl
IT Specialist,Evyap Egypt -,"Bourj Alarab, Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · CompTIA · CCNA · Help desk · MCSA · Technical Support · Communication · Computer Science · Information Technology (IT) · Network,https://wuzzuf.net/jobs/p/72lWjHl9m6F4-IT-Specialist-Evyap-Egypt-Alexandria-Egypt?o=213&l=sp&t=sj&a=data science jobs|search-v3|navbl
T24 Technical Consultant,"Telecom Systems Provider, LLC -","Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Banking · Installation/Maintenance/Repair · IT/Software Development · Banking · SW Development · Temenos T24 · Oracle DB · Engineering · Computer Science · desktop support,https://wuzzuf.net/jobs/p/CkE0Sxba8TJZ-T24-Technical-Consultant-Telecom-Systems-Provider-LLC-Cairo-Egypt?o=214&l=sp&t=sj&a=data science jobs|search-v3|navbl
Warehouse Coordinator,Confidential -,"Maadi, Cairo, Egypt ",Full TimeManager · 3 - 5 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Sales · Sales Skills · IT Sales · Microsoft Office · Sales Target · Computer Science · Software Sales · Customer Service,https://wuzzuf.net/jobs/p/4ZZMfxUCYzHE-Warehouse-Coordinator-Cairo-Egypt?o=215&l=sp&t=sj&a=data science jobs|search-v3|navbl
Artificial Intelligence (AI) Engineer,Confidential -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Artificial Intelligence · Computer Science · English · Information Technology (IT) · Software Engineering,https://wuzzuf.net/jobs/p/DH9EDOqivogn-Artificial-Intelligence-AI-Engineer-Riyadh-Saudi-Arabia?o=216&l=sp&t=sj&a=data science jobs|search-v3|navbl
ICT Engineer,Confidential -,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ICT/ELV · Computer Science · ICT · Networks · Technical Support · Customer Support · Networking · Software,https://wuzzuf.net/jobs/p/woz9KWY9eBXI-ICT-Engineer-Giza-Egypt?o=217&l=sp&t=sj&a=data science jobs|search-v3|navbl
Quality Assurance Associate - German Speaker,Expleo -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Communication Skills · German · English · QA · Quality · Unit Testing,https://wuzzuf.net/jobs/p/vwaeBi4uHNxw-Quality-Assurance-Associate---German-Speaker-Expleo-Cairo-Egypt?o=218&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Full Stack Developer,Sword Egypt -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Software Development · Information Technology (IT) · JavaScript · English · Python · React · Docker,https://wuzzuf.net/jobs/p/OTugnHbSfuks-Senior-Full-Stack-Developer-Sword-Egypt-Cairo-Egypt?o=219&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Software Tester,Confidential -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Certified Software Tester · Test Design · SQL · Reporting · Software · Testing · Automation,https://wuzzuf.net/jobs/p/ytgR1Q4wGWRs-Senior-Software-Tester-Cairo-Egypt?o=220&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Application Specialist -SAP,M² Developments -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · business · Administration · ERP · Information Technology (IT) · SAP · Real Estate · ITIL · Computer Science,https://wuzzuf.net/jobs/p/80XQC3NInYxE-Senior-Application-Specialist--SAP-M²-Developments-Giza-Egypt?o=221&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Software Quality Control Engineer - Madar,Obeikan Digital Solutions -,"Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Engineering · Quality Assurance · Quality Control · Software · Software Development · Software Testing,https://wuzzuf.net/jobs/p/EiQiaKS3TUDB-Senior-Software-Quality-Control-Engineer---Madar-Obeikan-Digital-Solutions-Cairo-Egypt?o=222&l=sp&t=sj&a=data science jobs|search-v3|navbl
Laravel Developer,34ML -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Information Technology (IT) · Software Engineering · MVC · Engineering · Git,https://wuzzuf.net/jobs/p/9r35lak7p9Rv-Laravel-Developer-34ML-Cairo-Egypt?o=223&l=sp&t=sj&a=data science jobs|search-v3|navbl
Unity Game Developer,Confidential -,"Badr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Unity 3D · Design · Software Development · Scripting · Game · Git · GUI · Development,https://wuzzuf.net/jobs/p/C2SsUEspapYD-Unity-Game-Developer-Cairo-Egypt?o=224&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior MEAN Stack Developer- Hybrid,GET Group- Egypt -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Node.js · Software Development · JavaScript · Angular · Git,https://wuzzuf.net/jobs/p/IULex0gnKnXY-Senior-MEAN-Stack-Developer--Hybrid-GET-Group--Egypt-Cairo-Egypt?o=225&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Technical Consultant,ITS  -,"Cairo, Egypt ",Full TimeExperienced · 9 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Azure · Implementation · Oracle · SQL · Vmware · Sybase · Computer Science,https://wuzzuf.net/jobs/p/PWF1HnbSlR5K-Senior-Technical-Consultant-ITS-Cairo-Egypt?o=226&l=sp&t=sj&a=data science jobs|search-v3|navbl
Product Owner,Centro CDX -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Agile · Computer Science · Development · Engineering · Information Technology (IT) · Management · Product,https://wuzzuf.net/jobs/p/3tTkX08zDTWw-Product-Owner-Centro-CDX-Cairo-Egypt?o=227&l=sp&t=sj&a=data science jobs|search-v3|navbl
Junior Geomatics Engineer (Civil),Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Other · CAD · Computer Science · Engineering · Software Development · Civil Engineering · Communication skills · GPS · Communication,https://wuzzuf.net/jobs/p/9aMj5BPc6Vje-Junior-Geomatics-Engineer-Civil-Micro-Engineering-Cairo-Egypt?o=228&l=sp&t=sj&a=data science jobs|search-v3|navbl
Information Security Senior Officer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 6 - 9 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Microsoft Office · Information Technology (IT) · Information Security · ISO 27001 · CISA,https://wuzzuf.net/jobs/p/dVRnZAb0aWuP-Information-Security-Senior-Officer-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=229&l=sp&t=sj&a=data science jobs|search-v3|navbl
Product Manager,Aman -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Business Development · IT/Software Development · Operations/Management · Development · Product Management · Product · Product Development · Computer Science,https://wuzzuf.net/jobs/p/7r4nNpgbdDs0-Product-Manager-Aman-Giza-Egypt?o=230&l=sp&t=sj&a=data science jobs|search-v3|navbl
Quality Assurance Engineer,Hala Consulting  -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 12 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Quality Assurance,https://wuzzuf.net/jobs/p/H7ZhivxaiAN7-Quality-Assurance-Engineer-Hala-Consulting-Cairo-Egypt?o=231&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Node JS Developer,Remote Platz -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node.js · JavaScript · Git · CSS3 · HTML5 · Information Technology (IT) · Computer Science · Software Development,https://wuzzuf.net/jobs/p/hU0FnNeiD2yk-Senior-Node-JS-Developer-Remote-Platz-Cairo-Egypt?o=232&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Database Administrator,SURE International Technology -,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Database · MySQL · SQL Server · SQL · DBA,https://wuzzuf.net/jobs/p/0FxEA9PLewT9-Senior-Database-Administrator-SURE-International-Technology-Cairo-Egypt?o=233&l=sp&t=sj&a=data science jobs|search-v3|navbl
Performance Engineer,Rasan -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Linux · Java · Performance Testing,https://wuzzuf.net/jobs/p/rPN6CTLMVwqq-Performance-Engineer-Rasan-Cairo-Egypt?o=234&l=sp&t=sj&a=data science jobs|search-v3|navbl
IT Help Desk Specialist (October Branch),Dar Al-Fouad Hospital -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Hardware · Software · Computer Hardware · Help Desk,https://wuzzuf.net/jobs/p/GiPQ33WdjhPd-IT-Help-Desk-Specialist-October-Branch-Dar-Al-Fouad-Hospital-Giza-Egypt?o=235&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Software Tester,Expert Apps -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Automation · computer · Computer Science · Information Technology (IT) · Integration · JMeter · Performance,https://wuzzuf.net/jobs/p/drRwxgIf4bwb-Senior-Software-Tester-Expert-Apps-Cairo-Egypt?o=236&l=sp&t=sj&a=data science jobs|search-v3|navbl
GIS Developer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · GIS · ArcGIS · JavaScript · Web Development · Software Development · Computer Science · Information Technology (IT) · jQuery,https://wuzzuf.net/jobs/p/XJwuFPkZ7tih-GIS-Developer-Perfect-Presentation-Giza-Egypt?o=237&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior IT Specialist,Deutschland Technology Limited -,"Obour City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · computer · Computer Engineering · Computer Science · Information technology · IT · MCSE · Security · Technology,https://wuzzuf.net/jobs/p/QNthoEij4DjI-Senior-IT-Specialist-Deutschland-Technology-Limited-Cairo-Egypt?o=238&l=sp&t=sj&a=data science jobs|search-v3|navbl
Java Developer,Spirawn -,"Washington, D.C., United States ",Full TimeWork From HomeEntry Level · 1 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Spring Boot · Java Developer · Information Technology (IT) · Spring · Software Development · Computer Science · Angular,https://wuzzuf.net/jobs/p/xMTf2BzMF2Al-Java-Developer-Spirawn-Washington-D-C-United-States?o=239&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Java Developer,FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Software Development · Computer Science · Information Technology (IT) · Software Engineering · SQL · Web Development · Software,https://wuzzuf.net/jobs/p/SwE7Y7Akj5hL-Senior-Java-Developer-FlairsTech-Cairo-Egypt?o=240&l=sp&t=sj&a=data science jobs|search-v3|navbl
Microsoft CRM Developer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Dynamics · Microsoft Dynamics · Development · Microsoft · Information Technology (IT) · Computer Engineering · Computer Science,https://wuzzuf.net/jobs/p/UgmGJrgTlj3j-Microsoft-CRM-Developer-Perfect-Presentation-Giza-Egypt?o=241&l=sp&t=sj&a=data science jobs|search-v3|navbl
QA Engineer / Software Tester,Caelum Egypt -,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · QA Engineering · Software Testing · Information Technology (IT) · Computer Science · Testing · Software Development,https://wuzzuf.net/jobs/p/CDKEe1IQv3Ed-QA-Engineer-Software-Tester-Caelum-Egypt-Giza-Egypt?o=242&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Software Developer,ARPUPLUS -,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Developer · C# · VB.Net · Linq · .Net · .Net Developer · ORM · BI Development,https://wuzzuf.net/jobs/p/YPHXuERphFyx-Senior-Software-Developer-ARPUPLUS-Giza-Egypt?o=243&l=sp&t=sj&a=data science jobs|search-v3|navbl
Android Developer,RAQAMYAT -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Android · API · coding · Crashlytics · Development · Firebase · Information Technology (IT),https://wuzzuf.net/jobs/p/RI33NGhDVRNv-Android-Developer-RAQAMYAT-Cairo-Egypt?o=244&l=sp&t=sj&a=data science jobs|search-v3|navbl
UI UX Developer,DevartLab -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · UI · UX,https://wuzzuf.net/jobs/p/kTtgRIhZRyKs-UI-UX-Developer-DevartLab-Cairo-Egypt?o=245&l=sp&t=sj&a=data science jobs|search-v3|navbl
IT - Voice Specialist (Avaya),Raya Customer Experience -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Computer Science · Avaya · Software Development · Management skills,https://wuzzuf.net/jobs/p/yWLOKM59u41b-IT---Voice-Specialist-Avaya-Raya-Customer-Experience-Giza-Egypt?o=246&l=sp&t=sj&a=data science jobs|search-v3|navbl
"Monitoring Agent "" Soc""",e-finance -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Monitoring · Security · Engineering · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/PdrYR6WjaQJd-Monitoring-Agent-Soc-e-finance-Giza-Egypt?o=247&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Web Developer,Turbo -,"Giza, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · developer · Computer Science · laravel developer · Laravel · PHP · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/tePwhoJIBK2V-Senior-Web-Developer-Turbo-Giza-Egypt?o=248&l=sp&t=sj&a=data science jobs|search-v3|navbl
