day,temp
Sun 11,35.0
Mon 12,35.0
Tue 13,34.0
Wed 14,33.0
Thu 15,31.0
Fri 16,32.0
Sat 17,33.0
Sun 18,34.0
Mon 19,35.0
Tue 20,35.0
Wed 21,34.0
Thu 22,33.0
Fri 23,31.0
Sat 24,31.0
